"material","sample_ID","watershed","forest","species","year","C_mg_g"
"loose_litter","LL1001","EB","HW",,2012,484.64
"loose_litter","LL1002","EB","HW",,2012,487.43
"loose_litter","LL1003","EB","HW",,2012,474.15
"loose_litter","LL1004","EB","HW",,2012,532.09
"loose_litter","LL1005","EB","HW",,2012,522.08
"loose_litter","LL1011","EB","SW",,2012,510.01
"loose_litter","LL1012","EB","SW",,2012,498.24
"loose_litter","LL1013","EB","SW",,2012,500.82
"loose_litter","LL1014","EB","SW",,2012,548.94
"loose_litter","LL1015","EB","SW",,2012,519.45
"loose_litter","LL1021","WB","HW",,2012,393.53
"loose_litter","LL1022","WB","HW",,2012,458.5
"loose_litter","LL1023","WB","HW",,2012,476.14
"loose_litter","LL1024","WB","HW",,2012,458.34
"loose_litter","LL1025","WB","HW",,2012,501.86
"loose_litter","LL1031","WB","SW",,2012,515.85
"loose_litter","LL1032","WB","SW",,2012,531.1
"loose_litter","LL1033","WB","SW",,2012,543.5
"loose_litter","LL1034","WB","SW",,2012,544.06
"loose_litter","LL1035","WB","SW",,2012,546.71
"loose_litter","LL1041","EB","RT",,2012,427.12
"loose_litter","LL1042","EB","RT",,2012,359.06
"loose_litter","LL1043","EB","RT",,2012,465.51
"loose_litter","LL1047","WB","RT",,2012,487.21
"loose_litter","LL1048","WB","RT",,2012,480.61
"loose_litter","LL1201","EB","HW",,2012,493.85
"loose_litter","LL1202","EB","HW",,2012,353.85
"loose_litter","LL1203","EB","HW",,2012,454.82
"loose_litter","LL1204","EB","HW",,2012,468.5
"loose_litter","LL1205","EB","HW",,2012,493.39
"loose_litter","LL1211","EB","SW",,2012,514.63
"loose_litter","LL1212","EB","SW",,2012,557.82
"loose_litter","LL1213","EB","SW",,2012,502.8
"loose_litter","LL1214","EB","SW",,2012,509.99
"loose_litter","LL1215","EB","SW",,2012,485.3
"loose_litter","LL1221","WB","HW",,2012,412.58
"loose_litter","LL1222","WB","HW",,2012,519.37
"loose_litter","LL1223","WB","HW",,2012,445.85
"loose_litter","LL1224","WB","HW",,2012,448.23
"loose_litter","LL1225","WB","HW",,2012,538.97
"loose_litter","LL1231","WB","SW",,2012,498.62
"loose_litter","LL1232","WB","SW",,2012,488.88
"loose_litter","LL1233","WB","SW",,2012,498.38
"loose_litter","LL1234","WB","SW",,2012,521.91
"loose_litter","LL1235","WB","SW",,2012,533.02
"loose_litter","LL1241","EB","RT",,2012,426.71
"loose_litter","LL1242","EB","RT",,2012,459.79
"loose_litter","LL1243","EB","RT",,2012,467.7
"loose_litter","LL1247","WB","RT",,2012,489.79
"loose_litter","LL1248","WB","RT",,2012,464.34
"loose_litter","LL1249","WB","RT",,2012,368.59
"loose_litter","LL1401","EB","HW",,2012,498.15
"loose_litter","LL1402","EB","HW",,2012,565.59
"loose_litter","LL1403","EB","HW",,2012,431.9
"loose_litter","LL1404","EB","HW",,2012,503.52
"loose_litter","LL1405","EB","HW",,2012,514.13
"loose_litter","LL1411","EB","SW",,2012,2.46
"loose_litter","LL1412","EB","SW",,2012,544.74
"loose_litter","LL1413","EB","SW",,2012,519.02
"loose_litter","LL1414","EB","SW",,2012,519.4
"loose_litter","LL1415","EB","SW",,2012,558.04
"loose_litter","LL1421","WB","HW",,2012,413.04
"loose_litter","LL1422","WB","HW",,2012,527.01
"loose_litter","LL1423","WB","HW",,2012,480.46
"loose_litter","LL1424","WB","HW",,2012,508.56
"loose_litter","LL1425","WB","HW",,2012,483.92
"loose_litter","LL1431","WB","SW",,2012,524.12
"loose_litter","LL1432","WB","SW",,2012,485.38
"loose_litter","LL1433","WB","SW",,2012,516.19
"loose_litter","LL1434","WB","SW",,2012,519.42
"loose_litter","LL1435","WB","SW",,2012,522.39
"loose_litter","LL1441","EB","RT",,2012,432.36
"loose_litter","LL1442","EB","RT",,2012,376.62
"loose_litter","LL1443","EB","RT",,2012,473
"loose_litter","LL1447","WB","RT",,2012,337.77
"loose_litter","LL1448","WB","RT",,2012,470.46
"loose_litter","LL1449","WB","RT",,2012,470.84
"loose_litter","LL1601","EB","HW",,2012,486.99
"loose_litter","LL1602","EB","HW",,2012,477.93
"loose_litter","LL1603","EB","HW",,2012,431
"loose_litter","LL1604","EB","HW",,2012,469.26
"loose_litter","LL1605","EB","HW",,2012,469.94
"loose_litter","LL1612","EB","SW",,2012,502.24
"loose_litter","LL1613","EB","SW",,2012,505.25
"loose_litter","LL1614","EB","SW",,2012,505.9
"loose_litter","LL1615","EB","SW",,2012,475.01
"loose_litter","LL1621","WB","HW",,2012,479.01
"loose_litter","LL1622","WB","HW",,2012,463.16
"loose_litter","LL1623","WB","HW",,2012,485.54
"loose_litter","LL1624","WB","HW",,2012,429.75
"loose_litter","LL1625","WB","HW",,2012,404.05
"loose_litter","LL1631","WB","SW",,2012,506.89
"loose_litter","LL1632","WB","SW",,2012,494.04
"loose_litter","LL1633","WB","SW",,2012,508.78
"loose_litter","LL1634","WB","SW",,2012,478.22
"loose_litter","LL1635","WB","SW",,2012,541.49
"loose_litter","LL1641","EB","RT",,2012,454.83
"loose_litter","LL1642","EB","RT",,2012,425.7
"loose_litter","LL1643","EB","RT",,2012,457.93
"loose_litter","LL1647","WB","RT",,2012,474.67
"loose_litter","LL1648","WB","RT",,2012,428.72
"loose_litter","LL1649","WB","RT",,2012,467
"loose_litter","LL1801","EB","HW",,2012,477.38
"loose_litter","LL1802","EB","HW",,2012,373.85
"loose_litter","LL1803","EB","HW",,2012,458.72
"loose_litter","LL1804","EB","HW",,2012,504.6
"loose_litter","LL1805","EB","HW",,2012,462.24
"loose_litter","LL1811","EB","SW",,2012,477.11
"loose_litter","LL1812","EB","SW",,2012,468.28
"loose_litter","LL1813","EB","SW",,2012,502.72
"loose_litter","LL1814","EB","SW",,2012,516.71
"loose_litter","LL1815","EB","SW",,2012,510.82
"loose_litter","LL1821","WB","HW",,2012,460.11
"loose_litter","LL1822","WB","HW",,2012,468.19
"loose_litter","LL1823","WB","HW",,2012,440.97
"loose_litter","LL1824","WB","HW",,2012,397.58
"loose_litter","LL1825","WB","HW",,2012,437.23
"loose_litter","LL1831","WB","SW",,2012,512.67
"loose_litter","LL1832","WB","SW",,2012,502.06
"loose_litter","LL1833","WB","SW",,2012,459.53
"loose_litter","LL1834","WB","SW",,2012,499.23
"loose_litter","LL1835","WB","SW",,2012,519.23
"loose_litter","LL1841","EB","RT",,2012,434.58
"loose_litter","LL1842","EB","RT",,2012,484.47
"loose_litter","LL1843","EB","RT",,2012,466
"loose_litter","LL1847","WB","RT",,2012,432.36
"loose_litter","LL1848","WB","RT",,2012,481.97
"loose_litter","LL1849","WB","RT",,2012,476.38
"loose_litter","LL2002","EB","HW",,2013,470.42
"loose_litter","LL2004","EB","HW",,2013,437.01
"loose_litter","LL2005","EB","HW",,2013,445.14
"loose_litter","LL2012","EB","SW",,2013,485.65
"loose_litter","LL2014","EB","SW",,2013,481.41
"loose_litter","LL2015","EB","SW",,2013,485.91
"loose_litter","LL2022","WB","HW",,2013,453.87
"loose_litter","LL2024","WB","HW",,2013,458.66
"loose_litter","LL2025","WB","HW",,2013,452.42
"loose_litter","LL2033","WB","SW",,2013,488.71
"loose_litter","LL2034","WB","SW",,2013,503.5
"loose_litter","LL2035","WB","SW",,2013,502.83
"loose_litter","LL2202","EB","HW",,2013,449.76
"loose_litter","LL2204","EB","HW",,2013,483.77
"loose_litter","LL2205","EB","HW",,2013,453.97
"loose_litter","LL2212","EB","SW",,2013,490.69
"loose_litter","LL2214","EB","SW",,2013,499.8
"loose_litter","LL2215","EB","SW",,2013,498.51
"loose_litter","LL2222","WB","HW",,2013,474.83
"loose_litter","LL2224","WB","HW",,2013,477.15
"loose_litter","LL2225","WB","HW",,2013,491.19
"loose_litter","LL2233","WB","SW",,2013,452.55
"loose_litter","LL2234","WB","SW",,2013,484.81
"loose_litter","LL2235","WB","SW",,2013,425.99
