skip,sample_ID,material,amount_mg,d13C,C_amount_ug,d13C_Comment,d15N,N_amount_ug,d15N_Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,source_file
,C105,WOOD,1.17,-26.51,550.14,,-4.22,2.9,Too small,BBWM WOOD 2 Under 8mg,A3,"13C, 15N",NO,,417048,136380,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C106,WOOD,0.31,-27.19,169.45,,-4.14,2.24,Too small,BBWM WOOD 2 Under 8mg,A4,"13C, 15N",NO,,417049,136381,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C107,WOOD,1.85,-26.19,889.7,,-2.15,3.08,Too small,BBWM WOOD 2 Under 8mg,A5,"13C, 15N",NO,,417050,136382,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C108,WOOD,0.12,-27.9,93.98,Precision decreases for samples containing less than 100ugC,0.41,1.9,Too small,BBWM WOOD 2 Under 8mg,A6,"13C, 15N",NO,,417051,136383,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C109,WOOD,1.56,-29.65,737.44,,2.51,5.44,Too small,BBWM WOOD 2 Under 8mg,A7,"13C, 15N",NO,,417052,136384,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C110,WOOD,0.75,-27.52,402.37,,2.43,2.65,Too small,BBWM WOOD 2 Under 8mg,A8,"13C, 15N",NO,,417053,136385,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C111,WOOD,0.49,-28.09,260.26,,4.96,1.98,Too small,BBWM WOOD 2 Under 8mg,A9,"13C, 15N",NO,,417054,136386,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C112,WOOD,0.52,-25.88,275.37,,-5.61,2.93,Too small,BBWM WOOD 2 Under 8mg,A10,"13C, 15N",NO,,417055,136387,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C113,WOOD,2.03,-25.24,1036.89,,-2.93,4.24,Too small,BBWM WOOD 2 Under 8mg,A11,"13C, 15N",NO,,417056,136388,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C114,WOOD,0.5,-26.01,318.49,,1.34,2.02,Too small,BBWM WOOD 2 Under 8mg,A12,"13C, 15N",NO,,417057,136389,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C115,WOOD,0.37,-26.67,197.16,,-1.45,2.68,Too small,BBWM WOOD 2 Under 8mg,B1,"13C, 15N",NO,,417058,136392,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C116,WOOD,3.59,-27.65,1851.91,,-2.76,6.54,Too small,BBWM WOOD 2 Under 8mg,B2,"13C, 15N",NO,,417059,136393,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
skip,Blk 4,WOOD,0,-29.63,1.98,Too small,-11.41,1.36,Too small,BBWM WOOD 2 Under 8mg,B3,"13C, 15N",NO,,417060,136394,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C118,WOOD,2.67,-24.96,1376.42,,0.63,6.06,Too small,BBWM WOOD 2 Under 8mg,B4,"13C, 15N",NO,,417061,136395,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C119,WOOD,3.02,-25.32,1518.79,,-1.37,5.89,Too small,BBWM WOOD 2 Under 8mg,B5,"13C, 15N",NO,,417062,136396,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C120,WOOD,0.47,-25.02,230.03,,-12.88,2.16,Too small,BBWM WOOD 2 Under 8mg,B6,"13C, 15N",NO,,417063,136397,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C121,WOOD,7.13,-25.2,3534.87,,0.37,8.84,Too small,BBWM WOOD 2 Under 8mg,B7,"13C, 15N",NO,,417064,136398,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C122,WOOD,2.58,-26.54,1245.73,,-5.12,3.97,Too small,BBWM WOOD 2 Under 8mg,B8,"13C, 15N",NO,,417065,136399,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C123,WOOD,2.63,-25.28,1278.98,,0.58,5.18,Too small,BBWM WOOD 2 Under 8mg,B9,"13C, 15N",NO,,417066,136400,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C124,WOOD,0.75,-25.33,348.63,,-5.37,2.52,Too small,BBWM WOOD 2 Under 8mg,B10,"13C, 15N",NO,,417067,136401,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C125,WOOD,0.83,-25.77,423.84,,-2.26,2.93,Too small,BBWM WOOD 2 Under 8mg,B11,"13C, 15N",NO,,417068,136402,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C126,WOOD,0.04,-21.05,1.86,Too small,-8.79,1.37,Too small,BBWM WOOD 2 Under 8mg,B12,"13C, 15N",NO,,417069,136403,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C127,WOOD,4.08,-28.54,1951.17,,3.29,7.39,Too small,BBWM WOOD 2 Under 8mg,C1,"13C, 15N",NO,,417070,136407,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C128,WOOD,4.68,-27.93,2334.19,,1,7.51,Too small,BBWM WOOD 2 Under 8mg,C2,"13C, 15N",NO,,417071,136408,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C129,WOOD,5.86,-28.08,2787.2,,1.88,11.44,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,C3,"13C, 15N",NO,,417072,136409,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C130,WOOD,0,-37.72,2.38,Too small,-13.43,1.41,Too small,BBWM WOOD 2 Under 8mg,C4,"13C, 15N",NO,,417073,136410,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C131,WOOD,0.46,-27.03,266.74,,-4.19,1.88,Too small,BBWM WOOD 2 Under 8mg,C5,"13C, 15N",NO,,417074,136411,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C132,WOOD,0.23,-28.28,166.63,,0.11,1.89,Too small,BBWM WOOD 2 Under 8mg,C6,"13C, 15N",NO,,417075,136412,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C133,WOOD,1.6,-25.97,760.76,,0.85,3.17,Too small,BBWM WOOD 2 Under 8mg,C7,"13C, 15N",NO,,417076,136413,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C134,WOOD,2.94,-24.95,1444.61,,2.53,6.06,Too small,BBWM WOOD 2 Under 8mg,C8,"13C, 15N",NO,,417077,136414,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C135,WOOD,0.13,-27.11,73.77,Precision decreases for samples containing less than 100ugC,-3.02,1.67,Too small,BBWM WOOD 2 Under 8mg,C9,"13C, 15N",NO,,417078,136415,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C136,WOOD,3.74,-27.66,1837.69,,2.11,6.66,Too small,BBWM WOOD 2 Under 8mg,C10,"13C, 15N",NO,,417079,136416,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C137,WOOD,2.02,-25.7,994.92,,0.79,4.92,Too small,BBWM WOOD 2 Under 8mg,C11,"13C, 15N",NO,,417080,136417,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C138,WOOD,3.53,-25.87,1746.13,,2.92,5.98,Too small,BBWM WOOD 2 Under 8mg,C12,"13C, 15N",NO,,417081,136418,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C139,WOOD,0.14,-28.99,115.03,,-4.21,2.2,Too small,BBWM WOOD 2 Under 8mg,D1,"13C, 15N",NO,,417082,136425,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C140,WOOD,1.47,-25.2,686.49,,-1.17,3.02,Too small,BBWM WOOD 2 Under 8mg,D2,"13C, 15N",NO,,417083,136426,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C141,WOOD,5.6,-25.4,2748.17,,-1.11,10.41,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D3,"13C, 15N",NO,,417084,136427,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C142,WOOD,6.55,-26.99,3345.62,,-2.18,11.14,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D4,"13C, 15N",NO,,417085,136428,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C146,WOOD,7.97,-27.59,3908.28,,-0.3,11.32,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D5,"13C, 15N",NO,,417086,136429,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C150,WOOD,4.24,-25.65,2134.42,,-3.12,7.39,Too small,BBWM WOOD 2 Under 8mg,D6,"13C, 15N",NO,,417087,136430,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C152,WOOD,5.25,-27.8,2591.34,,-1.62,9.32,Too small,BBWM WOOD 2 Under 8mg,D7,"13C, 15N",NO,,417088,136431,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C155,WOOD,5.26,-28.9,2532.25,,-2.92,9.57,Too small,BBWM WOOD 2 Under 8mg,D8,"13C, 15N",NO,,417089,136432,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C157,WOOD,1.93,-28.22,1032.7,,-2.18,6.54,Too small,BBWM WOOD 2 Under 8mg,D9,"13C, 15N",NO,,417090,136433,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C161,WOOD,5.57,-27.55,2728.62,,-0.34,8.42,Too small,BBWM WOOD 2 Under 8mg,D10,"13C, 15N",NO,,417091,136434,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C162,WOOD,7.16,-26.93,3666.34,,-0.81,11.99,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D11,"13C, 15N",NO,,417092,136435,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C163,WOOD,3.28,-25.33,1584.54,,-1.69,7.81,Too small,BBWM WOOD 2 Under 8mg,D12,"13C, 15N",NO,,417093,136436,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C168,WOOD,0.94,-24.97,530.91,,1.27,2.87,Too small,BBWM WOOD 2 Under 8mg,E1,"13C, 15N",NO,,417094,136440,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C171,WOOD,5.27,-26.32,2630.65,,-0.5,9.39,Too small,BBWM WOOD 2 Under 8mg,E2,"13C, 15N",NO,,417095,136441,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C172,WOOD,2.88,-26.68,1444.61,,-0.51,11.2,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E3,"13C, 15N",NO,,417096,136442,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C173,WOOD,7.65,-27.72,3741.09,,-1.69,10.05,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E4,"13C, 15N",NO,,417097,136443,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C175,WOOD,7.75,-25.73,3703.75,,0.25,18.04,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E5,"13C, 15N",NO,,417098,136444,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C176,WOOD,0.08,-29.93,133.04,,0.15,1.91,Too small,BBWM WOOD 2 Under 8mg,E6,"13C, 15N",NO,,417099,136445,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C179,WOOD,1.9,-27.57,967.61,,-0.61,5.53,Too small,BBWM WOOD 2 Under 8mg,E7,"13C, 15N",NO,,417100,136446,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C181,WOOD,3.22,-28.54,1529.08,,1.39,9.02,Too small,BBWM WOOD 2 Under 8mg,E8,"13C, 15N",NO,,417101,136447,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C184,WOOD,1.19,-26.84,573.63,,-0.16,3.78,Too small,BBWM WOOD 2 Under 8mg,E9,"13C, 15N",NO,,417102,136448,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C185,WOOD,8.35,-29.05,,Too large - estimated Delta PDB-total C will be incorrect,3.65,16.89,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E10,"13C, 15N",NO,,417103,136449,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C187,WOOD,8.91,-25.99,,Too large - estimated Delta PDB-total C will be incorrect,1.18,15.31,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E11,"13C, 15N",NO,,417104,136450,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,C190,WOOD,3.58,-27.41,1756.32,,1.6,12.53,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E12,"13C, 15N",NO,,417105,136451,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,,,,,,,,,,,,,,,,,
,C3,WOOD,16.69,,,,-0.72,18.75,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A1,"13C, 15N",NO,,416902,136051,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C4,WOOD,15.41,,,,-1.76,22.1,,BBWM WOOD 3 over 8mg,A2,"13C, 15N",NO,,416903,136052,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C6,WOOD,14.62,,,,-3.78,19.02,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A3,"13C, 15N",NO,,416904,136053,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C10,WOOD,15.15,,,,-1.68,18.22,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A4,"13C, 15N",NO,,416905,136054,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C28,WOOD,11.07,,,,-4.36,14.72,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A5,"13C, 15N",NO,,416906,136055,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C29,WOOD,25.57,,,,0.25,27.52,,BBWM WOOD 3 over 8mg,A6,"13C, 15N",NO,,416907,136056,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C44,WOOD,18.97,,,,-1.05,29.55,,BBWM WOOD 3 over 8mg,A7,"13C, 15N",NO,,416908,136057,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C46,WOOD,25.25,,,,-4.37,12.65,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A8,"13C, 15N",NO,,416909,136058,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C101,WOOD,12.59,,,,-2.72,19.6,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A9,"13C, 15N",NO,,416910,136059,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C117,WOOD,12.77,,,,-2.92,16.04,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A10,"13C, 15N",NO,,416911,136060,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C143,WOOD,11.34,,,,-2.69,15.04,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A11,"13C, 15N",NO,,416912,136061,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C144,WOOD,17.14,,,,-3.52,22.58,,BBWM WOOD 3 over 8mg,A12,"13C, 15N",NO,,416913,136062,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C145,WOOD,17.45,,,,-1.43,41.92,,BBWM WOOD 3 over 8mg,B1,"13C, 15N",NO,,416914,136066,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C147,WOOD,24.12,,,,-2.7,60.71,,BBWM WOOD 3 over 8mg,B2,"13C, 15N",NO,,416915,136067,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C148,WOOD,23.37,,,,-3.1,42.35,,BBWM WOOD 3 over 8mg,B3,"13C, 15N",NO,,416916,136068,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C149,WOOD,20.4,,,,-3.34,34.93,,BBWM WOOD 3 over 8mg,B4,"13C, 15N",NO,,416917,136069,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C151,WOOD,23.19,,,,-3.15,33.91,,BBWM WOOD 3 over 8mg,B5,"13C, 15N",NO,,416918,136070,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C153,WOOD,23.74,,,,-2.78,33.91,,BBWM WOOD 3 over 8mg,B6,"13C, 15N",NO,,416919,136071,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C154,WOOD,16.3,,,,-3.81,26.62,,BBWM WOOD 3 over 8mg,B7,"13C, 15N",NO,,416920,136072,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C156,WOOD,15.18,,,,0.37,41.97,,BBWM WOOD 3 over 8mg,B8,"13C, 15N",NO,,416921,136073,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C158,WOOD,13.92,,,,-1.07,44.75,,BBWM WOOD 3 over 8mg,B9,"13C, 15N",NO,,416922,136074,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C159,WOOD,25.71,,,,-1.32,48.17,,BBWM WOOD 3 over 8mg,B10,"13C, 15N",NO,,416923,136075,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C160,WOOD,11.36,,,,-2.5,22.58,,BBWM WOOD 3 over 8mg,B11,"13C, 15N",NO,,416924,136076,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C164,WOOD,29.5,,,,-2.52,77.93,,BBWM WOOD 3 over 8mg,B12,"13C, 15N",NO,,416925,136077,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C165,WOOD,10.76,,,,,,no signal-probably fell in with c2,BBWM WOOD 3 over 8mg,C1,"13C, 15N",NO,,416926,136080,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
skip,Blk 5,WOOD,0,,,,-1.85,22.63,probably c1 plus c2-c2 is a customer blank,BBWM WOOD 3 over 8mg,C2,"13C, 15N",NO,,416927,136081,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C166,WOOD,23.55,,,,-0.68,75.77,,BBWM WOOD 3 over 8mg,C3,"13C, 15N",NO,,416928,136082,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C167,WOOD,21.66,,,,-2.34,48.01,,BBWM WOOD 3 over 8mg,C4,"13C, 15N",NO,,416929,136083,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C169,WOOD,18.74,,,,-0.11,39.57,,BBWM WOOD 3 over 8mg,C5,"13C, 15N",NO,,416930,136084,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C170,WOOD,38.99,,,,-0.04,66.09,,BBWM WOOD 3 over 8mg,C6,"13C, 15N",NO,,416931,136085,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C174,WOOD,49.92,,,,-1.06,46.03,,BBWM WOOD 3 over 8mg,C7,"13C, 15N",NO,,416932,136086,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C177,WOOD,21.11,,,,1.97,38.45,,BBWM WOOD 3 over 8mg,C8,"13C, 15N",NO,,416933,136087,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C178,WOOD,27.93,,,,-0.35,48.5,,BBWM WOOD 3 over 8mg,C9,"13C, 15N",NO,,416934,136088,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C180,WOOD,37.05,,,,-0.31,87.65,,BBWM WOOD 3 over 8mg,C10,"13C, 15N",NO,,416935,136089,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C182,WOOD,27.84,,,,-1.14,42.77,,BBWM WOOD 3 over 8mg,C11,"13C, 15N",NO,,416936,136090,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C183,WOOD,13.94,,,,-2.18,24.92,,BBWM WOOD 3 over 8mg,C12,"13C, 15N",NO,,416937,136091,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C186,WOOD,20.02,,,,1.39,75.77,,BBWM WOOD 3 over 8mg,D1,"13C, 15N",NO,,416938,136095,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C188,WOOD,14.62,,,,-0.79,39.41,,BBWM WOOD 3 over 8mg,D2,"13C, 15N",NO,,416939,136096,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
,C189,WOOD,23.99,,,,-0.18,56.96,,BBWM WOOD 3 over 8mg,D3,"13C, 15N",NO,,416940,136097,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512