Sample ID,d13C,C Amount (ug),d13C Comment,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,Amount (mg),OurLabID,Analysis Number,WS,Veg,Plot,Chase,Trmt,Species,[C] mg/g,[N] mg/g,Lf type,source_file,Yr
13-031,-31.39,2108.36,,3.13,43,,BBWM LF2013,A1,Litterfall,"13C,15N",Yes,,4.44,742035,4570,EB,HW,4,468,no P,AB,475,9.69,non-woody,Spencer BBWM-LF-2013 0814,2013
13-027,-28.96,2254.84,,-0.87,24.3,,BBWM LF2013,A2,Litterfall,"13C,15N",Yes,,4.4,742036,4571,EB,HW,3,468,no P,woody,512,5.52,woody,Spencer BBWM-LF-2013 0814,2013
13-024,-28.74,2198.54,,2.85,39.46,,BBWM LF2013,A3,Litterfall,"13C,15N",Yes,,4.46,742037,4572,EB,HW,3,468,no P,SM,493,8.85,non-woody,Spencer BBWM-LF-2013 0814,2013
13-023,-27.43,2311.09,,4.09,35.51,,BBWM LF2013,A4,Litterfall,"13C,15N",Yes,,4.46,742038,4573,EB,HW,3,468,no P,RM,518,7.96,non-woody,Spencer BBWM-LF-2013 0814,2013
13-022,-29.86,2204.18,,8.11,44.61,,BBWM LF2013,A5,Litterfall,"13C,15N",Yes,,4.42,742039,4574,EB,HW,3,468,no P,YB,499,10.09,non-woody,Spencer BBWM-LF-2013 0814,2013
13-021,-30.55,2080.14,,59.43,52.23,,BBWM LF2013,A6,Litterfall,"13C,15N",Yes,,4.4,742040,4575,EB,HW,3,468,no P,AB,473,11.87,non-woody,Spencer BBWM-LF-2013 0814,2013
13-017,-29.27,2372.9,,-0.57,27.66,,BBWM LF2013,A7,Litterfall,"13C,15N",Yes,,4.6,742041,4576,EB,HW,2,468,no P,woody,516,6.01,woody,Spencer BBWM-LF-2013 0814,2013
13-012,-30.1,2232.33,,5.27,45.01,,BBWM LF2013,A8,Litterfall,"13C,15N",Yes,,4.58,742042,4577,EB,HW,2,468,no P,YB,487,9.83,non-woody,Spencer BBWM-LF-2013 0814,2013
13-011,-30.56,2176.01,,4.45,36.8,,BBWM LF2013,A9,Litterfall,"13C,15N",Yes,,4.4,742043,4578,EB,HW,2,468,no P,AB,495,8.36,non-woody,Spencer BBWM-LF-2013 0814,2013
13-032,-30.33,2237.96,,3.67,54.23,,BBWM LF2013,A10,Litterfall,"13C,15N",Yes,,4.58,742044,4579,EB,HW,4,468,no P,YB,489,11.84,non-woody,Spencer BBWM-LF-2013 0814,2013
13-037,-29.52,2221.07,,-2.12,18.77,,BBWM LF2013,A11,Litterfall,"13C,15N",Yes,,4.44,742045,4580,EB,HW,4,468,no P,woody,500,4.23,woody,Spencer BBWM-LF-2013 0814,2013
13-041,-30.48,2204.18,,1.81,45.42,,BBWM LF2013,A12,Litterfall,"13C,15N",Yes,,4.64,742046,4581,EB,HW,5,468,no P,AB,475,9.79,non-woody,Spencer BBWM-LF-2013 0814,2013
13-042,-30.72,2130.92,,5.03,44.61,,BBWM LF2013,B1,Litterfall,"13C,15N",Yes,,4.42,742047,4586,EB,HW,5,468,no P,YB,482,10.09,non-woody,Spencer BBWM-LF-2013 0814,2013
13-043,-28.34,2266.1,,0.93,34.78,,BBWM LF2013,B2,Litterfall,"13C,15N",Yes,,4.46,742048,4587,EB,HW,5,468,no P,RM,508,7.8,non-woody,Spencer BBWM-LF-2013 0814,2013
13-044,-28.24,2215.44,,-0.37,35.39,,BBWM LF2013,B3,Litterfall,"13C,15N",Yes,,4.41,742049,4588,EB,HW,5,468,no P,SM,502,8.02,non-woody,Spencer BBWM-LF-2013 0814,2013
13-047,-29.37,2299.85,,-2.13,28.47,,BBWM LF2013,B4,Litterfall,"13C,15N",Yes,,4.47,742050,4589,EB,HW,5,468,no P,woody,515,6.37,woody,Spencer BBWM-LF-2013 0814,2013
13-055,-27.94,2350.43,,-2.2,39.87,,BBWM LF2013,B5,Litterfall,"13C,15N",Yes,,4.53,742051,4590,EB,SW,1,468,no P,RS,519,8.8,non-woody,Spencer BBWM-LF-2013 0814,2013
13-057,-25.86,2479.52,,6.29,31.27,,BBWM LF2013,B6,Litterfall,"13C,15N",Yes,,4.61,742052,4591,EB,SW,1,468,no P,woody,538,6.78,woody,Spencer BBWM-LF-2013 0814,2013
13-065,-28.03,2378.52,,-1.89,38.58,,BBWM LF2013,B7,Litterfall,"13C,15N",Yes,,4.53,742053,4592,EB,SW,2,468,no P,RS,525,8.52,non-woody,Spencer BBWM-LF-2013 0814,2013
13-067,-28.07,2400.98,,-2.62,32,,BBWM LF2013,B8,Litterfall,"13C,15N",Yes,,4.52,742054,4593,EB,SW,2,468,no P,woody,531,7.08,woody,Spencer BBWM-LF-2013 0814,2013
13-085,-27.77,2367.29,,-2.27,41.4,,BBWM LF2013,B9,Litterfall,"13C,15N",Yes,,4.43,742055,4594,EB,SW,4,468,no P,RS,534,9.34,non-woody,Spencer BBWM-LF-2013 0814,2013
13-087,-26.29,2412.21,,-3.09,27.26,,BBWM LF2013,B10,Litterfall,"13C,15N",Yes,,4.51,742056,4595,EB,SW,4,468,no P,woody,535,6.04,woody,Spencer BBWM-LF-2013 0814,2013
13-095,-28,2457.09,,-2.27,43,,BBWM LF2013,B11,Litterfall,"13C,15N",Yes,,4.57,742057,4596,EB,SW,5,468,no P,RS,538,9.41,non-woody,Spencer BBWM-LF-2013 0814,2013
13-097,-26.5,2462.7,,-2.68,23.69,,BBWM LF2013,B12,Litterfall,"13C,15N",Yes,,4.56,742058,4597,EB,SW,5,468,no P,woody,540,5.19,woody,Spencer BBWM-LF-2013 0814,2013
13-111,-29.65,2333.58,,5.97,55.43,,BBWM LF2013,C1,Litterfall,"13C,15N",Yes,,4.68,742059,4601,WB,HW,2,468,no P,AB,499,11.84,non-woody,Spencer BBWM-LF-2013 0814,2013
13-112,-30.52,2192.91,,14.21,61.41,,BBWM LF2013,C2,Litterfall,"13C,15N",Yes,,4.46,742060,4602,WB,HW,2,468,no P,YB,492,13.77,non-woody,Spencer BBWM-LF-2013 0814,2013
13-113,-27.79,2215.44,,5.62,47.82,,BBWM LF2013,C3,Litterfall,"13C,15N",Yes,,4.45,742061,4603,WB,HW,2,468,no P,RM,498,10.75,non-woody,Spencer BBWM-LF-2013 0814,2013
13-114,-28.39,2215.44,,6.35,51.43,,BBWM LF2013,C4,Litterfall,"13C,15N",Yes,,4.43,742062,4604,WB,HW,2,468,no P,SM,500,11.61,non-woody,Spencer BBWM-LF-2013 0814,2013
13-117,-28.69,2209.81,,1.59,18.77,,BBWM LF2013,C5,Litterfall,"13C,15N",Yes,,4.43,742063,4605,WB,HW,2,468,no P,woody,499,4.24,woody,Spencer BBWM-LF-2013 0814,2013
13-121,-30.41,2204.18,,5.03,51.03,,BBWM LF2013,C6,Litterfall,"13C,15N",Yes,,4.45,742064,4606,WB,HW,3,468,no P,AB,495,11.47,non-woody,Spencer BBWM-LF-2013 0814,2013
13-122,-28.75,2153.47,,11.25,50.63,,BBWM LF2013,C7,Litterfall,"13C,15N",Yes,,4.4,742065,4607,WB,HW,3,468,no P,YB,489,11.51,non-woody,Spencer BBWM-LF-2013 0814,2013
13-124,-28.95,2164.74,,3.89,43.81,,BBWM LF2013,C8,Litterfall,"13C,15N",Yes,,4.43,742066,4608,WB,HW,3,468,no P,SM,489,9.89,non-woody,Spencer BBWM-LF-2013 0814,2013
13-127,-29.39,2378.52,,1.92,40.07,,BBWM LF2013,C9,Litterfall,"13C,15N",Yes,,4.56,742067,4609,WB,HW,3,468,no P,woody,522,8.79,woody,Spencer BBWM-LF-2013 0814,2013
13-131,-29.59,2327.96,,7.86,50.63,,BBWM LF2013,C10,Litterfall,"13C,15N",Yes,,4.58,742068,4610,WB,HW,4,468,no P,AB,508,11.05,non-woody,Spencer BBWM-LF-2013 0814,2013
13-132,-29.04,2209.81,,13.01,57.83,,BBWM LF2013,C11,Litterfall,"13C,15N",Yes,,4.4,742069,4611,WB,HW,4,468,no P,YB,502,13.14,non-woody,Spencer BBWM-LF-2013 0814,2013
13-134,-26.28,2327.96,,6.98,53.83,,BBWM LF2013,C12,Litterfall,"13C,15N",Yes,,4.56,742070,4612,WB,HW,4,468,no P,SM,511,11.81,non-woody,Spencer BBWM-LF-2013 0814,2013
13-137,-28.49,2322.33,,1.97,35.75,,BBWM LF2013,D1,Litterfall,"13C,15N",Yes,,4.51,742071,4617,WB,HW,4,468,no P,woody,515,7.93,woody,Spencer BBWM-LF-2013 0814,2013
13-141,-27.57,2204.18,,3.22,33.09,,BBWM LF2013,D2,Litterfall,"13C,15N",Yes,,4.61,742072,4618,WB,HW,5,468,no P,AB,478,7.18,non-woody,Spencer BBWM-LF-2013 0814,2013
13-142,-28.22,2215.44,,17,55.83,,BBWM LF2013,D3,Litterfall,"13C,15N",Yes,,4.42,742073,4619,WB,HW,5,468,no P,YB,501,12.63,non-woody,Spencer BBWM-LF-2013 0814,2013
13-147,-29.54,2311.09,,1.54,25.27,,BBWM LF2013,D4,Litterfall,"13C,15N",Yes,,4.63,742074,4620,WB,HW,5,468,no P,woody,499,5.46,woody,Spencer BBWM-LF-2013 0814,2013
13-165,-27.93,2311.09,,5.37,40.59,,BBWM LF2013,D5,Litterfall,"13C,15N",Yes,,4.45,742075,4621,WB,SW,2,468,no P,RS,519,9.12,non-woody,Spencer BBWM-LF-2013 0814,2013
13-167,-26.01,2384.14,,4.12,29.93,,BBWM LF2013,D6,Litterfall,"13C,15N",Yes,,4.56,742076,4622,WB,SW,2,468,no P,woody,523,6.56,woody,Spencer BBWM-LF-2013 0814,2013
13-175,-27.94,2316.71,,3.73,35.19,,BBWM LF2013,D7,Litterfall,"13C,15N",Yes,,4.44,742077,4623,WB,SW,3,468,no P,RS,522,7.93,non-woody,Spencer BBWM-LF-2013 0814,2013
13-177,-25.95,2260.47,,2.71,27.42,,BBWM LF2013,D8,Litterfall,"13C,15N",Yes,,4.46,742078,4624,WB,SW,3,468,no P,woody,507,6.15,woody,Spencer BBWM-LF-2013 0814,2013
13-185,-27.81,2367.29,,4.06,45.82,,BBWM LF2013,D9,Litterfall,"13C,15N",Yes,,4.53,742079,4625,WB,SW,4,468,no P,RS,523,10.11,non-woody,Spencer BBWM-LF-2013 0814,2013
13-187,-25.87,2294.22,,1.25,33.21,,BBWM LF2013,D10,Litterfall,"13C,15N",Yes,,4.42,742080,4626,WB,SW,4,468,no P,woody,519,7.51,woody,Spencer BBWM-LF-2013 0814,2013
13-195,-28.08,2372.9,,2.97,50.63,,BBWM LF2013,D11,Litterfall,"13C,15N",Yes,,4.54,742081,4627,WB,SW,5,468,no P,RS,523,11.15,non-woody,Spencer BBWM-LF-2013 0814,2013
13-197,-25.87,2327.96,,0.3,27.42,,BBWM LF2013,D12,Litterfall,"13C,15N",Yes,,4.66,742082,4628,WB,SW,5,468,no P,woody,500,5.88,woody,Spencer BBWM-LF-2013 0814,2013
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,Amount (mg),OurLabID,Analysis Number,WS,FT,Plot,,,,,[N] mg/g,Type,,Yr
LF12_41,,,,7.98,89.15,,BBWM LF12WOOD,A1,Woody Litter Fall,"13C, 15N",Yes,,15,663583,218784,EB,SW,1,,,,,5.943574002,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_49,,,,1.93,113.65,,BBWM LF12WOOD,A2,Woody Litter Fall,"13C, 15N",Yes,,15.3,663584,218785,EB,SW,2,,,,,7.428076077,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_57,,,,-3.09,113.65,,BBWM LF12WOOD,A3,Woody Litter Fall,"13C, 15N",Yes,,15.5,663585,218786,EB,SW,3,,,,,7.332229934,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_65,,,,-3,125.07,,BBWM LF12WOOD,A4,Woody Litter Fall,"13C, 15N",Yes,,15.13,663586,218787,EB,SW,4,,,,,8.266499659,woody,Spencer BBWM-LF12WOOD 0214,2012
meanLF12_72,,,,2.28,126.2,,BBWM LF12WOOD,--,Woody Litter Fall,"13C, 15N",Yes,,15.225,,,EB,SW,5,,,,,8.288675059,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_112,,,,6.45,139.14,,BBWM LF12WOOD,A6,Woody Litter Fall,"13C, 15N",Yes,,15.25,663588,218789,WB,SW,1,,,,,9.123794792,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_119,,,,4.35,98.78,,BBWM LF12WOOD,A7,Woody Litter Fall,"13C, 15N",Yes,,15.15,663589,218790,WB,SW,2,,,,,6.520006769,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_126,,,,4.2,29.52,,BBWM LF12WOOD,A8,Woody Litter Fall,"13C, 15N",Yes,,15.13,663590,218791,WB,SW,3,,,,,1.951141744,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_132,,,,2.8,146.36,,BBWM LF12WOOD,A9,Woody Litter Fall,"13C, 15N",Yes,,15.05,663591,218792,WB,SW,4,,,,,9.724919196,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_139,,,,4.38,112.11,,BBWM LF12WOOD,A10,Woody Litter Fall,"13C, 15N",Yes,,15,663592,218793,WB,SW,5,,,,,7.473690029,woody,Spencer BBWM-LF12WOOD 0214,2012